id,type,text
"f4f6bebe-2fd9-4069-9965-e2dc53037353","Explication","uri"
"fbfc9093-76e6-44bf-9649-b3faddc46f4f","Explication","uri"
"394f31af-bde1-4a3e-866c-79075df2a24e","Explication","uri"
"6d8111f9-1b3a-4008-a02b-6c53db1086ad","Explication","uri"
"04cacc6c-cff1-45cc-be9d-74dbcb8e82ea","Explication","uri"
"e480abc9-2882-4ed0-9ae8-95d2d6d7d00e","Explication","uri"
"f507bd01-289c-44a5-a014-db65c8f4e01d","Explication","uri"
"3ac8b43e-80ac-4702-9e11-a907eed564f2","Explication","uri"
"aab6b978-abc7-4111-a36b-7a2986028e46","Explication","uri"
"44c088eb-b215-49e7-bf05-0192fb02ff9c","Explication","uri"
"16d8719d-9394-4787-84d4-d96fd4bc5ff6","Explication","uri"
"671ab488-328f-4cda-b217-9779f1dd0985","Explication","uri"
"78539f01-5603-4edc-a0e2-a4d194e646a6","Explication","uri"
"d662d0d5-b136-48f2-ba7a-b0979731428e","Explication","uri"
"466b7d5b-4ac2-4587-841f-a43cbe157015","Explication","uri"
"68cca617-7098-40ea-bd44-694eefccc3c1","Explication","uri"
"b7c0b2af-1e8e-49c5-b728-27e37cbe843d","Explication","uri"
"36c1f654-0c44-4683-b6bd-e9aa237dcec7","Explication","uri"
"7e2f21e2-70fe-429c-9329-b756aaf77421","Explication","uri"
"4b7d245a-6689-4dc8-9f13-bf7c15bd5836","Explication","uri"
"7b191eb8-e497-4ae0-b49a-46559c21627e","Explication","uri"
"ea33adad-d9c7-4309-a682-832e983eb201","Explication","uri"
"bf371dd5-f870-425f-9fb3-0459540f0b9a","Explication","uri"
"4fbc3267-2561-4b73-aa63-abd7d033f5fd","Explication","uri"
"1cb4cae6-3b05-4d01-b538-a0cefd628215","Explication","uri"
"51879871-7bb6-4e3b-9bae-292d53a01368","Explication","uri"
"c36fc376-d8b5-4bfa-9ea3-d72c7c446e58","Explication","uri"
"6ed1a22d-29fe-471a-8969-fdda0522706a","Explication","uri"
"8b07e231-b785-41e4-8cbc-5ebbe5389116","Explication","uri"
"54056dcb-e729-476e-a906-1c13f07e03d6","Explication","uri"
"f981e6da-c867-4f34-853f-871662fffdd3","Explication","uri"
"dcf06541-2963-4ff6-8f99-2a200b9676ec","Explication","uri"
"13277f86-18ea-4661-bec3-c065680023db","Explication","uri"
"c0893a7a-df8d-4b2f-b53e-b5b92648edd6","Explication","uri"
"e85e5da6-cd0a-4273-b15b-a2c9c42287c3","Explication","uri"
"46329853-853a-4397-ba92-84731ae7714d","Explication","uri"
"14d2419b-604c-4c54-a8da-fc68677c457c","Explication","uri"
"a9013e48-5b4f-40c2-a3cc-c8b3d4e70554","Explication","uri"
"7c56a7ab-3ad3-414b-b6fa-10fd9dddcd85","Explication","uri"
"b26baea7-cbc5-48e0-b5ec-fbb231c390af","Explication","uri"
"40e9d946-d480-4733-b98d-18b0e1055be6","Explication","uri"
"e32b4fd3-bb9f-4004-8f6e-4094d6f20a21","Explication","uri"
"e1e3cfe2-e8d3-4a57-8b19-a2df74e599f4","Explication","uri"
"e76b001b-ccc0-49d3-aff5-f5b0d6522fc6","Explication","uri"
"48ca9826-789f-4829-85f6-ac0570a8fb5d","Explication","uri"
"0e6c368e-c5ef-4001-932f-970043e6b9c2","History","uri"
"d106a5b1-8e10-4896-b869-1522556205bb","History","uri"
"a318309a-c89f-47dd-b92c-bebc92893980","History","uri"
"ef1f3e1e-9649-4864-8957-fa9d1a08f99f","History","uri"
"9cbf8f01-64b7-4f0d-8ce0-1e4470f5be69","History","uri"
"9c596c3c-ce8d-4bac-804b-2c7133919d10","History","uri"
"434b0161-d623-46ba-90a2-3ce0d62d024f","History","uri"
"4c231c87-fbda-403e-9b81-404d09cefc38","History","uri"
"b9f34f53-846e-4762-9859-146b42173e68","History","uri"
"692f733b-987b-4b73-a2bd-b5f1a141ed3f","History","uri"
"8f6b5148-47ba-4e0e-9050-ced04011a4bb","History","uri"
"f15aee55-8e38-41c7-b1b6-4243fab7a250","History","uri"
"f47de3c4-0ce1-4cf4-a490-ec16d4b118ca","History","uri"
"6515ee06-ab0b-463b-9a3d-a4d7e1ae2b8b","History","uri"
"0fb729cf-0b2f-4c81-91d6-57c47f255358","History","uri"
"198ebcf4-9f78-45be-bd62-db28dc2af4fe","History","uri"
"6ef4bfa1-7235-4292-bf0e-2bae898550c3","History","uri"
"64bfed32-01ba-4cd7-b59b-28dfba269229","History","uri"
"ccd5562b-c833-42fa-9ca1-7f6e8856b1dd","History","uri"
"65720f5f-e4e4-46df-9f2f-ad23d2b814e4","History","uri"
"f664bc3f-29ea-4f0d-9044-34243efb32d6","History","uri"
"2ec96b82-e5c3-4eb0-a6a6-02d6eaa1f932","History","uri"
"971395d2-402b-4db4-9410-5b5fd0a98662","History","uri"
"e115800e-8c60-4707-ab03-d5c1bf391752","History","uri"
"a031c532-c69b-4fd2-b3d5-eac9ed5f5098","History","uri"
"0ebf7104-5215-43d2-bfc1-507f5780f0af","History","uri"
"670a3d2b-9bec-472b-bddb-c0c04f4d12f3","History","uri"
"1d5ce1e6-628f-442f-b7ee-3e5d3198ecfd","History","uri"
"694638c2-a418-41bc-9e46-4bac3aee8015","History","uri"
"628827c8-ea94-4ebb-911f-c35c706f38f3","History","uri"
"cf3ac90b-017c-4c9d-b403-b053ab299a1f","History","uri"
"d79a7720-101d-4d61-88b9-5c2be6be58df","History","uri"
"ff67f532-d25b-4bb5-a855-78b838580da4","History","uri"
"29791913-9a72-4539-9581-2577beff26fd","History","uri"
"7c34dada-8077-459f-8fb5-3b5e8669536c","History","uri"
"8d75f43c-d69c-4d9d-aff6-03ab1e9ab7c7","History","uri"
"c862aca6-b04b-4573-9f6e-88808346a69d","History","uri"
"5b3f882b-7c51-4e6f-a58b-033ce34b686d","History","uri"
"28999172-6361-48e3-a1cc-14599e06d3e4","History","uri"
"60a31367-0d11-4ed4-ab5e-e30dad1ceab6","History","uri"
"1fdf7145-0eb7-435a-ba7e-e7b6d68d6780","History","uri"
"9ede53f2-efdc-42e8-b43d-b8109ec542b7","History","uri"
"4e5825f7-c21a-48d4-afac-b5b6bd18a9fb","History","uri"
"ae89d869-f358-40f7-b5d3-1de9199371f8","History","uri"
"15fabebb-9e80-49fd-a3ec-5cf1d18ac409","History","uri"
"e230dce2-4f5f-49bf-a71f-a585ce51e293","History","uri"
"026a6f9f-5ff1-4bbd-b37b-4e6c81fc38ed","History","uri"
"0e79a854-8a97-46e0-a556-4b2b33a7c710","History","uri"
"7a2b79a8-4b0f-40a6-bef8-3477c8d85b06","History","uri"
"b1ae8a22-a8df-400f-80c8-fea43471cf89","History","uri"
"4f116ee1-e5da-48ee-91ee-4d620c6ee6db","History","uri"
"7b72fda2-1e95-448f-a995-7e280753a4f7","History","uri"
"7d5caef8-928a-4c5d-ad9f-dee3c91b1a40","History","uri"
"2c260b8e-cfe3-4d42-98bd-1e9c355216e2","History","uri"
"ebe46d57-6a18-4e9b-bbfd-0872fad8e60d","History","uri"
"d83407dc-4e57-4414-9643-29b3f8a92b80","History","uri"
"314b5a03-3001-4448-a85f-a2f8063a7748","History","uri"
"b088a9a3-8fce-49f5-8748-cfb142fe7665","History","uri"
"f04d40ff-edcb-477e-9fea-d231f157f613","History","uri"
"f80ffd33-a003-4620-ac4b-f237fc80f1c3","History","uri"
"5481256c-29f3-4e40-9e5c-1c25507b8f21","History","uri"
"3271e6ed-40d9-4c72-b1bf-75541957e464","History","uri"
"f956194b-a13c-4b02-9664-56d71127cf1f","History","uri"
"02a1b510-733d-418b-82e9-1759b4518222","History","uri"
"9d4a5347-e992-4ca6-9a49-006de6be78fc","History","uri"
"cb044e3f-5731-4267-ae63-e65a2725d9b7","History","uri"
"0715d421-9dc2-4858-a5c6-2594b5dd1a8f","History","uri"
"c700585c-ce8e-4e4c-ac75-0c0d7c4869c2","History","uri"
"4820effc-8352-4f58-b6b8-30ed2e282e00","History","uri"
"6ac9cac2-9b64-4728-841e-659ec528a297","History","uri"
"20e9f664-4c52-451d-801f-6b2861cb93e3","History","uri"
"57410bd9-9342-42c3-bec7-e07e1233e780","History","uri"
"a8236cca-2e2b-44a2-aa52-9d60723e3674","History","uri"
"d9fe99fa-832b-4e44-8918-4a4a5612696c","History","uri"
"a57bc761-4300-4f63-bf3f-367be7670400","History","uri"
"06259b2f-d22e-4302-9617-9a93ecfe0673","History","uri"
"3adf73c9-4ae9-4a0d-99ec-68c29b4208af","History","uri"
"c99d4dda-baba-44b9-be2e-3aa000810275","History","uri"
"652faeee-67cf-450f-b451-ec99263780d2","History","uri"
"63da3ccb-ed78-465d-b724-8f091b0af200","History","uri"
"45b1a08b-1a44-4fd5-923b-78d7749b24de","History","uri"
"bb2f2ab0-4740-45da-b25b-a2f2fd182f3b","History","uri"
"1433dddb-fb2c-4428-be79-6a2e511e7844","History","uri"
"b57639c1-acc4-4d71-84e0-7352ab28f65d","History","uri"
"8c5f4d07-ab39-4710-9e21-91b3fd5865a3","History","uri"
"86e96ff9-2f9b-4b3c-b364-b0f6d874bfe6","History","uri"
"18d17fe4-7215-48fb-9624-a077598608cb","History","uri"
"ff98ad03-6aa9-4044-aa95-9f5cacfd8ee1","History","uri"
"21ad808e-c403-44af-b8d1-64effe94d6df","History","uri"
"9d2c0f7c-ba4b-400e-b6e6-07a27b873651","History","uri"
"4afbbf16-705d-4ff6-bb0e-30348e012e74","History","uri"
"58d3a11a-1e64-45a5-8519-ca2107480f59","History","uri"
"34671462-b006-4db4-86f6-deef9805dbce","History","uri"
"0d3cf3a6-e945-4cb3-9c03-c2db87a0ca75","History","uri"
"147dedf6-48ab-49e5-ac22-2465b076177c","History","uri"
"ce58ac57-069b-467b-8af8-b82e12265e23","History","uri"
"dbad1412-ebf0-40cb-863d-22ca8b92f5db","History","uri"
"7dfe077f-c7de-4408-b4b9-3f0ec62aebb2","History","uri"
"0c7b59a2-254e-43f2-99df-83230aee6879","History","uri"
